Player	Deck	Date Played	Won (Y/N)	Game Number
Jaxon	Hogaak Graveyard	9/11/2024	No	56
Nic	Abaddon Demon Cascade	9/11/2024	No	57
Jaxon	Hogaak Graveyard	9/11/2024	Yes	57
Ashe	Minn Illusions	9/11/2024	No	57
Nic	Lynde Curse	16/11/2024	No	58
Ben	Rograkh Equipment	16/11/2024	Yes	58
Jaxon	Hogaak Graveyard	16/11/2024	No	58
Nic	Baeloth Goad	16/11/2024	No	59
Ben	Quick Draw	16/11/2024	No	59
Jaxon	Hogaak Graveyard	16/11/2024	Yes	59
Nic	Mutant Menace	19/11/2024	No	60
Ben	Koma Lands	19/11/2024	Yes	60
Ashe	The Most Dangerous Gamer Attractions	19/11/2024	No	60
Nic	Mutant Menace	19/11/2024	Yes	61
Ben	Quick Draw	19/11/2024	No	61
Ashe	The Most Dangerous Gamer Attractions	19/11/2024	No	61
Nic	Mutant Menace	19/11/2024	No	62
Ben	Quick Draw	19/11/2024	Yes	62
Ashe	The Most Dangerous Gamer Attractions	19/11/2024	No	62
Nic	Grist Insects	21/11/2024	No	63
Ben	Revenant Recon	21/11/2024	No	63
Ashe	Marina Rooms	21/11/2024	Yes	63
Dante	Ur-Dragon Dragons	21/11/2024	No	63
Nic	Grist Insects	21/11/2024	No	64
Ben	Revenant Recon	21/11/2024	Yes	64
Ashe	Marina Rooms	21/11/2024	No	64
Dante	Ur-Dragon Dragons	21/11/2024	No	64
Nic	Grist Insects	21/11/2024	Yes	65
Dante	Ur-Dragon Dragons	21/11/2024	No	65
Ashe	The Most Dangerous Gamer Attractions	21/11/2024	No	65
Otis	Mutant Menace	21/11/2024	No	65
Nic	Grist Insects	25/11/2024	Yes	66
Ben	Revenant Recon	25/11/2024	No	66
Dante	Ur-Dragon Dragons	25/11/2024	No	66
Jaxon	Inniaz Theft	25/11/2024	No	66
Ashe	The Most Dangerous Gamer Attractions	25/11/2024	No	66
Nic	Lynde Curse	25/11/2024	No	67
Ben	Quick Draw	25/11/2024	Yes	67
Dante	Ur-Dragon Dragons	25/11/2024	No	67
Jaxon	Inniaz Theft	25/11/2024	No	67
Ashe	Marina Rooms	25/11/2024	No	67
Nic	Abaddon Demon Cascade	27/11/2024	Yes	68
Ben	Mishra's Burnished Banner	27/11/2024	No	68
Ashe	Minn Illusions	27/11/2024	No	68
Otis	Jumpscare	27/11/2024	No	68
Nic	Abaddon Demon Cascade	27/11/2024	No	69
Ben	Mishra's Burnished Banner	27/11/2024	Yes	69
Otis	Jumpscare	27/11/2024	No	69
Ashe	Vito Vampires	27/11/2024	No	69
Nic	Baeloth Goad	9/12/2024	No	70
Ben	Eldrazi Incursion	9/12/2024	Yes	70
Ashe	Minn Illusions	9/12/2024	No	70
Otis	Henzie Blitz	9/12/2024	No	70
Nic	Grist Insects	9/12/2024	Yes	71
Ben	Quick Draw	9/12/2024	No	71
Ashe	Marina Rooms	9/12/2024	No	71
Otis	Henzie Blitz	9/12/2024	No	71
Nic	Grist Insects	9/12/2024	No	72
Ben	Quick Draw	9/12/2024	No	72
Otis	Henzie Blitz	9/12/2024	Yes	72
Ashe	Marina Rooms	9/12/2024	No	72
Nic	Mutant Menace	13/12/2024	No	73
Ben	Quick Draw	13/12/2024	No	73
Otis	Henzie Blitz	13/12/2024	Yes	73
Nic	Omo Landwalk	15/12/2024	No	74
Ben	Rograkh Equipment	15/12/2024	Yes	74
Dante	Ur-Dragon Dragons	15/12/2024	No	74
Nic	Abaddon Demon Cascade	15/12/2024	No	75
Ben	Revenant Recon	15/12/2024	No	75
Dante	Ur-Dragon Dragons	15/12/2024	Yes	75
Nic	Sauron Army	18/12/2024	No	76
Hugh	Miracle Worker	18/12/2024	No	76
Ashe	The Most Dangerous Gamer Attractions	18/12/2024	No	76
Ben	Quick Draw	18/12/2024	Yes	76
Nic	Lynde Curse	18/12/2024	Yes	77
Ben	Quick Draw	18/12/2024	No	77
Ashe	Vito Vampires	18/12/2024	No	77
Hugh	Miracle Worker	18/12/2024	No	77
Nic	Sauron Army	18/12/2024	No	78
Ben	Mishra's Burnished Banner	18/12/2024	Yes	78
Ashe	The Most Dangerous Gamer Attractions	18/12/2024	No	78
